participant,distance_setting,number_of_objects,n_hit,n_fa,n_signal,n_noise,proportion_correct,hit_rate,false_alarm_rate
DB,high,2,46,5,50,50,0.91,0.9038461538461539,0.11538461538461539
DB,high,3,47,2,50,50,0.95,0.9230769230769231,0.057692307692307696
DB,high,4,44,4,50,50,0.9,0.8653846153846154,0.09615384615384616
DB,high,8,41,2,50,50,0.89,0.8076923076923077,0.057692307692307696
DB,high,16,30,3,50,50,0.77,0.5961538461538461,0.07692307692307693
DB,low,2,33,10,50,50,0.73,0.6538461538461539,0.21153846153846154
DB,low,3,37,10,50,50,0.77,0.7307692307692307,0.21153846153846154
DB,low,4,34,3,50,50,0.81,0.6730769230769231,0.07692307692307693
DB,low,16,19,8,50,50,0.61,0.38461538461538464,0.17307692307692307
DB,mid,2,44,7,50,50,0.87,0.8653846153846154,0.15384615384615385
DB,mid,3,47,5,50,50,0.92,0.9230769230769231,0.11538461538461539
DB,mid,4,41,3,50,50,0.88,0.8076923076923077,0.07692307692307693
DB,mid,8,29,8,50,50,0.71,0.5769230769230769,0.17307692307692307
DB,mid,16,29,9,50,50,0.7,0.5769230769230769,0.19230769230769232
DH,high,2,50,1,50,50,0.99,0.9807692307692307,0.038461538461538464
DH,high,3,48,1,50,50,0.97,0.9423076923076923,0.038461538461538464
DH,high,4,48,1,50,50,0.97,0.9423076923076923,0.038461538461538464
DH,high,8,39,0,50,50,0.89,0.7692307692307693,0.019230769230769232
DH,high,16,26,1,50,50,0.75,0.5192307692307693,0.038461538461538464
DH,low,2,36,9,50,50,0.77,0.7115384615384616,0.19230769230769232
DH,low,3,39,6,50,50,0.83,0.7692307692307693,0.1346153846153846
DH,low,4,31,4,50,50,0.77,0.6153846153846154,0.09615384615384616
DH,low,8,21,6,50,50,0.65,0.4230769230769231,0.1346153846153846
DH,low,16,4,3,50,50,0.51,0.09615384615384616,0.07692307692307693
DH,mid,2,47,3,50,50,0.94,0.9230769230769231,0.07692307692307693
DH,mid,3,44,4,50,50,0.9,0.8653846153846154,0.09615384615384616
DH,mid,4,42,4,50,50,0.88,0.8269230769230769,0.09615384615384616
DH,mid,8,27,3,50,50,0.74,0.5384615384615384,0.07692307692307693
DH,mid,16,23,2,50,50,0.71,0.46153846153846156,0.057692307692307696
HT,high,2,49,22,50,50,0.7777777777777778,0.9615384615384616,0.4423076923076923
HT,high,3,46,10,50,50,0.8585858585858586,0.9038461538461539,0.21153846153846154
HT,high,4,42,10,50,50,0.82,0.8269230769230769,0.21153846153846154
HT,high,8,34,11,50,50,0.7346938775510204,0.6730769230769231,0.23076923076923078
HT,high,16,32,5,50,50,0.77,0.6346153846153846,0.11538461538461539
HT,low,2,32,16,50,50,0.66,0.6346153846153846,0.3269230769230769
HT,low,3,27,14,50,50,0.63,0.5384615384615384,0.28846153846153844
HT,low,4,30,14,50,50,0.66,0.5961538461538461,0.28846153846153844
HT,low,8,23,9,50,50,0.64,0.46153846153846156,0.19230769230769232
HT,low,16,10,2,50,50,0.58,0.21153846153846154,0.057692307692307696
HT,mid,2,42,13,50,50,0.79,0.8269230769230769,0.2692307692307692
HT,mid,3,39,7,50,50,0.82,0.7692307692307693,0.15384615384615385
HT,mid,4,33,9,50,50,0.74,0.6538461538461539,0.19230769230769232
HT,mid,8,24,12,50,50,0.62,0.4807692307692308,0.25
HT,mid,16,20,8,50,50,0.62,0.40384615384615385,0.17307692307692307
JH,high,2,48,7,50,50,0.91,0.9423076923076923,0.15384615384615385
JH,high,3,46,0,50,50,0.96,0.9038461538461539,0.019230769230769232
JH,high,4,47,2,50,50,0.95,0.9230769230769231,0.057692307692307696
JH,high,8,42,3,50,50,0.89,0.8269230769230769,0.07692307692307693
JH,high,16,35,2,50,50,0.83,0.6923076923076923,0.057692307692307696
JH,low,2,40,5,50,50,0.85,0.7884615384615384,0.11538461538461539
JH,low,3,42,9,50,50,0.83,0.8269230769230769,0.19230769230769232
JH,low,4,36,4,50,50,0.82,0.7115384615384616,0.09615384615384616
JH,low,8,23,6,50,50,0.67,0.46153846153846156,0.1346153846153846
JH,low,16,18,9,50,50,0.59,0.36538461538461536,0.19230769230769232
JH,mid,2,47,6,50,50,0.91,0.9230769230769231,0.1346153846153846
JH,mid,3,48,9,50,50,0.89,0.9423076923076923,0.19230769230769232
JH,mid,4,48,6,50,50,0.92,0.9423076923076923,0.1346153846153846
JH,mid,8,39,7,50,50,0.82,0.7692307692307693,0.15384615384615385
JH,mid,16,25,8,50,50,0.67,0.5,0.17307692307692307
JT,high,2,43,10,50,50,0.83,0.8461538461538461,0.21153846153846154
JT,high,3,37,6,50,50,0.81,0.7307692307692307,0.1346153846153846
JT,high,4,34,11,50,50,0.73,0.6730769230769231,0.23076923076923078
JT,high,8,30,14,50,50,0.66,0.5961538461538461,0.28846153846153844
JT,high,16,20,9,50,50,0.61,0.40384615384615385,0.19230769230769232
JT,low,2,12,32,50,50,0.29591836734693877,0.25,0.6346153846153846
JT,low,3,38,18,50,50,0.7,0.75,0.36538461538461536
JT,low,4,26,19,50,50,0.57,0.5192307692307693,0.38461538461538464
JT,low,8,24,9,50,50,0.65,0.4807692307692308,0.19230769230769232
JT,low,16,14,5,50,50,0.59,0.28846153846153844,0.11538461538461539
JT,mid,2,37,23,50,50,0.64,0.7307692307692307,0.46153846153846156
JT,mid,3,33,20,50,50,0.63,0.6538461538461539,0.40384615384615385
JT,mid,4,30,12,50,50,0.68,0.5961538461538461,0.25
JT,mid,8,14,3,50,50,0.61,0.28846153846153844,0.07692307692307693
JT,mid,16,9,7,50,50,0.52,0.19230769230769232,0.15384615384615385
MG,high,2,49,4,50,50,0.95,0.9615384615384616,0.09615384615384616
MG,high,3,47,2,50,50,0.95,0.9230769230769231,0.057692307692307696
MG,high,4,50,0,50,50,1.0,0.9807692307692307,0.019230769230769232
MG,high,8,35,4,50,50,0.81,0.6923076923076923,0.09615384615384616
MG,high,16,31,7,50,50,0.74,0.6153846153846154,0.15384615384615385
MG,low,2,46,4,50,50,0.92,0.9038461538461539,0.09615384615384616
MG,low,3,34,4,50,50,0.8,0.6730769230769231,0.09615384615384616
MG,low,4,30,1,50,50,0.79,0.5961538461538461,0.038461538461538464
MG,low,8,22,4,50,50,0.68,0.4423076923076923,0.09615384615384616
MG,low,16,15,7,50,50,0.58,0.3076923076923077,0.15384615384615385
MG,mid,2,45,8,50,50,0.87,0.8846153846153846,0.17307692307692307
MG,mid,3,48,4,50,50,0.94,0.9423076923076923,0.09615384615384616
MG,mid,4,43,1,50,50,0.92,0.8461538461538461,0.038461538461538464
MG,mid,8,24,3,50,50,0.71,0.4807692307692308,0.07692307692307693
MG,mid,16,21,6,50,50,0.65,0.4230769230769231,0.1346153846153846
NS,high,2,40,3,50,50,0.87,0.7884615384615384,0.07692307692307693
NS,high,3,47,3,50,50,0.94,0.9230769230769231,0.07692307692307693
NS,high,4,42,6,50,50,0.86,0.8269230769230769,0.1346153846153846
NS,high,8,32,6,50,50,0.76,0.6346153846153846,0.1346153846153846
NS,high,16,25,9,50,50,0.66,0.5,0.19230769230769232
NS,low,2,28,11,50,50,0.67,0.5576923076923077,0.23076923076923078
NS,low,3,25,10,50,50,0.65,0.5,0.21153846153846154
NS,low,4,28,13,50,50,0.65,0.5576923076923077,0.2692307692307692
NS,low,8,21,17,50,50,0.54,0.4230769230769231,0.34615384615384615
NS,low,16,20,14,50,50,0.56,0.40384615384615385,0.28846153846153844
NS,mid,2,38,6,50,50,0.82,0.75,0.1346153846153846
NS,mid,3,75,17,100,100,0.79,0.7450980392156863,0.17647058823529413
NS,mid,4,39,12,50,50,0.7676767676767676,0.7692307692307693,0.25
NS,mid,8,31,12,50,50,0.69,0.6153846153846154,0.25
NS,mid,16,25,15,50,50,0.6,0.5,0.3076923076923077
OF,high,2,48,0,50,50,0.98,0.9423076923076923,0.019230769230769232
OF,high,3,45,3,50,50,0.92,0.8846153846153846,0.07692307692307693
OF,high,4,47,3,50,50,0.94,0.9230769230769231,0.07692307692307693
OF,high,8,27,2,50,50,0.75,0.5384615384615384,0.057692307692307696
OF,high,16,27,0,50,50,0.77,0.5384615384615384,0.019230769230769232
OF,low,2,39,2,50,50,0.87,0.7692307692307693,0.057692307692307696
OF,low,3,29,10,50,50,0.69,0.5769230769230769,0.21153846153846154
OF,low,4,17,3,50,50,0.64,0.34615384615384615,0.07692307692307693
OF,low,8,22,0,50,50,0.72,0.4423076923076923,0.019230769230769232
OF,low,16,10,3,50,50,0.57,0.21153846153846154,0.07692307692307693
OF,mid,2,46,2,50,50,0.94,0.9038461538461539,0.057692307692307696
OF,mid,3,46,3,50,50,0.93,0.9038461538461539,0.07692307692307693
OF,mid,4,43,2,50,50,0.91,0.8461538461538461,0.057692307692307696
OF,mid,8,29,2,50,50,0.77,0.5769230769230769,0.057692307692307696
OF,mid,16,14,3,50,50,0.61,0.28846153846153844,0.07692307692307693
RS,high,2,47,18,50,50,0.79,0.9230769230769231,0.36538461538461536
RS,high,3,48,8,50,50,0.9,0.9423076923076923,0.17307692307692307
RS,high,8,73,12,100,100,0.805,0.7254901960784313,0.12745098039215685
RS,high,16,32,8,50,50,0.74,0.6346153846153846,0.17307692307692307
RS,low,2,36,24,50,50,0.62,0.7115384615384616,0.4807692307692308
RS,low,4,24,12,50,50,0.62,0.4807692307692308,0.25
RS,low,8,32,15,50,50,0.6666666666666666,0.6346153846153846,0.3076923076923077
RS,low,16,20,25,50,50,0.45,0.40384615384615385,0.5
RS,mid,2,43,18,50,50,0.75,0.8461538461538461,0.36538461538461536
RS,mid,3,40,15,50,50,0.75,0.7884615384615384,0.3076923076923077
RS,mid,4,41,10,50,50,0.81,0.8076923076923077,0.21153846153846154
RS,mid,8,29,17,50,50,0.62,0.5769230769230769,0.34615384615384615
SR,high,2,46,1,50,50,0.95,0.9038461538461539,0.038461538461538464
SR,high,3,48,4,50,50,0.94,0.9423076923076923,0.09615384615384616
SR,high,4,49,7,50,50,0.92,0.9615384615384616,0.15384615384615385
SR,high,8,40,13,50,50,0.77,0.7884615384615384,0.2692307692307692
SR,high,16,30,14,50,50,0.66,0.5961538461538461,0.28846153846153844
SR,low,2,32,7,50,50,0.75,0.6346153846153846,0.15384615384615385
SR,low,3,34,7,50,50,0.77,0.6730769230769231,0.15384615384615385
SR,low,4,29,8,50,50,0.71,0.5769230769230769,0.17307692307692307
SR,low,8,26,17,50,50,0.59,0.5192307692307693,0.34615384615384615
SR,low,16,20,16,50,50,0.54,0.40384615384615385,0.3269230769230769
SR,mid,2,45,6,50,50,0.89,0.8846153846153846,0.1346153846153846
SR,mid,3,40,4,50,50,0.86,0.7884615384615384,0.09615384615384616
SR,mid,4,43,8,50,50,0.85,0.8461538461538461,0.17307692307692307
SR,mid,8,31,8,50,50,0.73,0.6153846153846154,0.17307692307692307
SR,mid,16,24,17,50,50,0.57,0.4807692307692308,0.34615384615384615
